-0.999998 5e-07
0.96 5e-07
0.919999 5e-07
0.879999 5e-07
0.84 5e-07
0.8 5e-07
0.759999 5e-07
0.72 5e-07
0.68 5e-07
0.639999 5e-07
0.599999 5e-07
0.559999 5e-07
0.519999 5e-07
0.479999 5e-07
0.44 5e-07
0.4 5e-07
0.36 5e-07
0.32 5e-07
0.28 5e-07
0.24 5e-07
0.2 5e-07
0.16 5e-07
0.12 5e-07
0.08 5e-07
0.04 5e-07
0 5e-07
-0.039999 5e-07
-0.079999 5e-07
-0.119999 5e-07
-0.159999 5e-07
-0.199999 5e-07
-0.239999 5e-07
-0.279999 5e-07
-0.319999 5e-07
-0.359999 5e-07
-0.399999 5e-07
-0.439999 5e-07
-0.479999 5e-07
-0.519999 5e-07
-0.559999 5e-07
-0.599999 5e-07
-0.639999 5e-07
-0.679998 5e-07
-0.719998 5e-07
-0.759998 5e-07
-0.799998 5e-07
-0.839998 5e-07
-0.879998 5e-07
-0.919998 5e-07
-0.959998 5e-07
1 5e-07
